Zone,State,City,Area,First Name,Last Name,Category,Email ID,Roll Number,Contact,Date of Birth,GENDER,Student State,Student City,TARGET YEAR,Father /Mother /Guardian's name,PARENT MOBILE,Parent Email ID,SPECIFY RELATIONSHIP,Password Option,Password,Locale,School,Board,Grade,Section,Subject,Error
South,Karnataka,Bangalore,Bellandur,Demo,FatKatA3,,FatKatA3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatA4,,FatKatA4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatA5,,FatKatA5@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatA6,,FatKatA6@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatA7,,FatKatA7@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatA8,,FatKatA8@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatA9,,FatKatA9@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAA0,,FatKatAA0@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAA1,,FatKatAA1@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAA2,,FatKatAA2@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAA3,,FatKatAA3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAA4,,FatKatAA4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student already exists
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAb3,,FatKatAb3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAb4,,FatKatAb4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAb5,,FatKatAb5@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAb6,,FatKatAb6@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAb7,,FatKatAb7@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAb8,,FatKatAb8@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAb9,,FatKatAb9@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAbc0,,FatKatAbc0@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAbc1,,FatKatAbc1@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAbc2,,FatKatAbc2@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAbc3,,FatKatAbc3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatAbc4,,FatKatAbc4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatC3,,FatKatC3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatC4,,FatKatC4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
